devType|country|levelEd|salary|size
Developer, front-end|Canada|2.0|135580.84|103
Developer, front-end|Germany|2.14|117081.2|157
DevOps specialist|China|2.0|62070.0|3
Database administrator|France|2.7|65544.25|78
Developer, front-end|United States|2.01|230896.93|893
Academic researcher|Poland|2.93|35233.44|45
Database administrator|Australia|1.85|228279.45|107
Data scientist & ML|United Kingdom|2.83|181840.67|143
DevOps specialist|Greece|2.0|10104.0|1
Developer, back-end|Canada|2.1|139939.23|599
Developer, full-stack|France|2.71|84906.09|280
DevOps specialist|India|2.07|36983.82|28
Developer, full-stack|Poland|2.32|41891.84|134
Developer, full-stack|United Kingdom|2.15|170059.05|740
Developer, back-end|Germany|2.35|126941.08|1030
Developer, front-end|Poland|2.17|33123.3|62
Data scientist & ML|Australia|2.61|184883.04|47
Developer, back-end|Australia|2.08|174609.0|308
Data or business analyst|France|2.9|64554.31|54
Data or business analyst|United States|2.17|250417.65|1039
DevOps specialist|Brazil|2.25|101323.75|8
Database administrator|United Kingdom|1.93|149349.89|297
Data or business analyst|Poland|2.42|33505.57|59
Academic researcher|France|3.52|47653.6|73
Developer, front-end|Greece|1.8|46066.19|10
Developer, back-end|France|2.78|91224.47|545
DevOps specialist|Germany|2.17|143801.52|17
DevOps specialist|United States|1.89|245503.46|110
Developer, full-stack|United States|2.07|240399.02|2518
Academic researcher|United States|2.78|224954.03|661
Database administrator|Canada|1.83|142747.99|140
DevOps specialist|Canada|2.14|85536.94|20
Developer, back-end|United Kingdom|2.15|165498.62|1223
Data or business analyst|Australia|2.04|169178.69|92
Data scientist & ML|Brazil|2.57|42265.0|26
Developer, back-end|United States|2.08|249655.96|4277
Developer, front-end|Australia|1.91|129406.83|73
Developer, full-stack|Australia|2.03|166399.91|232
Database administrator|China|2.06|47383.75|16
Developer, full-stack|India|2.16|26191.51|580
Developer, back-end|Poland|2.28|41933.18|521
Academic researcher|India|2.36|32163.32|176
Academic researcher|Australia|2.67|95129.23|43
Database administrator|Brazil|1.64|24745.54|64
Developer, front-end|India|2.18|23685.7|300
Developer, back-end|Greece|2.36|44359.76|96
DevOps specialist|United Kingdom|1.9|136692.0|53
Developer, back-end|Brazil|1.93|31713.12|465
Developer, full-stack|Greece|2.27|43322.22|36
Data or business analyst|India|2.34|30151.51|214
DevOps specialist|Australia|2.13|232737.79|15
Data scientist & ML|China|2.87|48666.37|8
Academic researcher|Brazil|2.41|37425.36|130
DevOps specialist|Poland|1.88|37570.66|9
Developer, full-stack|China|2.31|49247.54|22
Database administrator|Greece|2.06|42939.73|30
Developer, front-end|United Kingdom|2.05|161319.21|204
Developer, front-end|Brazil|1.73|23642.15|50
Developer, front-end|France|2.46|79261.75|69
Database administrator|Germany|2.12|120078.42|210
Academic researcher|Greece|3.02|51300.48|37
Data or business analyst|China|2.2|50647.0|10
Data or business analyst|Brazil|2.1|42369.98|90
DevOps specialist|France|2.62|85507.62|16
Data or business analyst|Greece|2.5|55112.55|20
Developer, back-end|India|2.21|27879.06|1265
Data scientist & ML|India|2.28|40003.18|158
Data scientist & ML|Canada|2.46|143358.06|73
Data scientist & ML|Germany|2.68|109713.65|135
Developer, full-stack|Germany|2.31|109918.64|364
Developer, full-stack|Canada|2.07|137781.24|329
Data scientist & ML|United States|2.64|293083.28|600
Academic researcher|United Kingdom|3.1|123018.08|145
Database administrator|India|2.18|22030.35|199
Developer, front-end|China|1.85|23235.52|21
Developer, back-end|China|2.22|81363.09|88
Data or business analyst|United Kingdom|2.18|166797.71|223
Database administrator|Poland|2.27|45690.4|70
Academic researcher|China|3.0|22060.0|9
Database administrator|United States|1.88|247161.93|995
Data scientist & ML|France|3.19|67038.17|78
Academic researcher|Germany|2.93|83855.6|312
Developer, full-stack|Brazil|1.87|33609.22|198
Academic researcher|Canada|2.72|130123.53|84
Data or business analyst|Canada|2.08|124334.98|118
Data or business analyst|Germany|2.52|114380.97|148
Data scientist & ML|Poland|2.52|45864.81|38
Data scientist & ML|Greece|2.66|40813.83|12